parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
1994,Laser_Blanking_2,Laser_Blanking_2,3
1995,Frame_Mode,Frame_Mode,6
1996,CRI_Mode,CRI_Mode,3
1997,Color_Curve,Color_Curve,3
1998,Beam_MSpeed_2,Beam_MSpeed_2,5
1999,Z_Scale,Z_Scale,5
2000,Softness,Softness,5
2001,Tolerance,Tolerance,5
2002,Layer_Effect_Parameter_13,Layer_Effect_Parameter_13,5
2003,Layer_Effect_Parameter_14,Layer_Effect_Parameter_14,5
2004,Layer_Effect_Parameter_15,Layer_Effect_Parameter_15,5
2005,Layer_Effect_Parameter_16,Layer_Effect_Parameter_16,5
2006,Layer_Effect_Parameter_17,Layer_Effect_Parameter_17,5
2007,Layer_Effect_Parameter_18,Layer_Effect_Parameter_18,5
2008,Layer_Effect_Parameter_19,Layer_Effect_Parameter_19,5
2009,Layer_Effect_Parameter_20,Layer_Effect_Parameter_20,5
2010,Layer_Effect_Parameter_21,Layer_Effect_Parameter_21,5
2011,Layer_Effect_Parameter_22,Layer_Effect_Parameter_22,5
2012,Layer_Effect_Parameter_23,Layer_Effect_Parameter_23,5
2013,Layer_Effect_Parameter_24,Layer_Effect_Parameter_24,5
2014,Layer_Effect_Parameter_25,Layer_Effect_Parameter_25,5
2015,Layer_Effect_Parameter_26,Layer_Effect_Parameter_26,5
2016,Layer_Effect_Parameter_27,Layer_Effect_Parameter_27,5
2017,Pixel_Map_Directory,Pixel_Map_Directory,5
2018,Warp_Directory,Warp_Directory,5
2019,Blend_Directory,Blend_Directory,5
2020,Z_Position_3,Z_Position_3,6
2021,Background_Amber,Background_Amber,3
2022,Pixel_Mapping_Invert_X,Pixel_Mapping_Invert_X,4
2023,Pixel_Mapping_Offset_Index,Pixel_Mapping_Offset_Index,4
2024,Pan_Invert,Pan_Invert,2
2025,Pan_Range,Pan_Range,2
2026,CTO_2,CTO_2,3
2027,Calibration_Mode_2,Calibration_Mode_2,7
2028,Roll_3,Roll_3,2
2029,Roll_4,Roll_4,2
2030,Roll_5,Roll_5,2
2031,Roll_6,Roll_6,2
2032,Color_Space_2,Color_Space_2,3
2033,Color_Priority_2,Color_Priority_2,3
2034,DMX_Smoothing,DMX_Smoothing,5
2035,DMX_Smoothing_2,DMX_Smoothing_2,5
